SensorID;8.4._06:00;8.4._07:00;8.4._08:00;8.4._09:00;8.4._10:00;8.4._11:00;8.4._12:00;8.4._13:00;8.4._14:00;8.4._15:00;8.4._16:00;8.4._17:00;8.4._18:00;8.4._19:00;8.4._20:00
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.047;-2;-1;-1;21.0;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.048;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.049;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.050;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.051;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.052;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.053;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.054;-2;-1;-1;22.2;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.055;-2;-1;-1;22.2;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.056;-2;-1;-1;21.0;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.057;-2;-1;-1;21.0;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.058;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.059;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.060;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.061;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.062;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.063;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.064;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.065;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.066;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.067;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.068;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.069;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.070;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.071;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.072;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.073;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.074;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.075;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.076;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.077;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.078;-2;-1;-1;20.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.079;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscree;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscreen;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscreen:;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscreen:U;-2;-1;-1;21.8;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.001;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.002;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.003;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.004;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.005;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.006;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.007;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.008;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.009;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.010;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.011;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.012;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
