SensorID;10.4._00:00;10.4._00:15;10.4._00:30;10.4._00:45;10.4._01:00;10.4._01:15;10.4._01:30;10.4._01:45;10.4._02:00;10.4._02:15;10.4._02:30;10.4._02:45;10.4._03:00;10.4._03:15;10.4._03:30;10.4._03:45;10.4._04:00;10.4._04:15;10.4._04:30;10.4._04:45;10.4._05:00;10.4._05:15;10.4._05:30;10.4._05:45;10.4._06:00;10.4._06:15;10.4._06:30;10.4._06:45;10.4._07:00;10.4._07:15;10.4._07:30;10.4._07:45;10.4._08:00;10.4._08:15;10.4._08:30;10.4._08:45;10.4._09:00;10.4._09:15;10.4._09:30;10.4._09:45;10.4._10:00;10.4._10:15;10.4._10:30;10.4._10:45;10.4._11:00;10.4._11:15;10.4._11:30;10.4._11:45;10.4._12:00;10.4._12:15;10.4._12:30;10.4._12:45;10.4._13:00;10.4._13:15;10.4._13:30;10.4._13:45;10.4._14:00;10.4._14:15;10.4._14:30;10.4._14:45;10.4._15:00;10.4._15:15;10.4._15:30;10.4._15:45;10.4._16:00;10.4._16:15;10.4._16:30;10.4._16:45;10.4._17:00;10.4._17:15;10.4._17:30;10.4._17:45;10.4._18:00;10.4._18:15;10.4._18:30;10.4._18:45;10.4._19:00;10.4._19:15;10.4._19:30;10.4._19:45;10.4._20:00;10.4._20:15;10.4._20:30;10.4._20:45;10.4._21:00;10.4._21:15;10.4._21:30;10.4._21:45;10.4._22:00;10.4._22:15;10.4._22:30;10.4._22:45;10.4._23:00
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.091;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;-1;-1;-1;54.3;52.3;50.4;48.7;47.2;45.9;44.9;44.1;43.6;-1;-1;-1;-1;-1;-1;-1;49.5;51.3;53.3;55.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.092;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;32.5;36.0;39.6;43.2;46.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.093;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;32.5;36.0;39.6;43.2;46.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.094;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-1;-1;-1;-1;74.8;71.1;67.5;63.8;60.1;56.4;52.7;49.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.095;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-1;-1;-1;76.7;73.1;69.4;65.7;62.1;58.4;54.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.096;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.097;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-1;-1;-1;-1;-1;-1;-1;-1;65.2;-1;-1;-1;-1;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.098;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;45.5;42.4;39.4;36.6;33.9;31.4;29.2;27.3;25.8;24.7;24.2;-1;-1;-1;-1;-1;-1;-1;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.099;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50.4;48.7;47.2;45.9;44.9;44.1;43.6;43.4;-1;-1;-1;-1;-1;-1;-1;51.3;53.3;55.4;57.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
IfcWindow/UNHP_FAS_PAN_XXX_TB_A_G_FX_Rainscreen:UNHP_FAS_PA.100;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;-1;-1;56.5;54.3;52.3;50.4;48.7;47.2;45.9;44.9;44.1;43.6;-1;-1;-1;-1;-1;-1;-1;49.5;51.3;53.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
