SensorID;10.4._00:00;10.4._01:00;10.4._02:00;10.4._03:00;10.4._04:00;10.4._05:00;10.4._06:00;10.4._07:00;10.4._08:00;10.4._09:00;10.4._10:00;10.4._11:00;10.4._12:00;10.4._13:00;10.4._14:00;10.4._15:00;10.4._16:00;10.4._17:00;10.4._18:00;10.4._19:00;10.4._20:00;10.4._21:00;10.4._22:00;10.4._23:00
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.034;-2;-2;-2;-2;-2;-2;-2;-1;13.2;22.3;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.035;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.036;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.037;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.038;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.039;-2;-2;-2;-2;-2;-2;-2;-1;23.7;-1;-1;-1;55.5;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.040;-2;-2;-2;-2;-2;-2;-2;27.9;-1;-1;-1;-1;57.9;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.041;-2;-2;-2;-2;-2;-2;-2;27.9;-1;-1;-1;44.1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.042;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;42.2;-1;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.043;-2;-2;-2;-2;-2;-2;-2;-1;23.8;-1;-1;-1;55.4;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.044;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;55.4;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.045;-2;-2;-2;-2;-2;-2;-2;32.3;-1;-1;-1;-1;55.4;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.046;-2;-2;-2;-2;-2;-2;-2;27.9;-1;-1;-1;44.1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.047;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;44.1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.048;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.049;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.050;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.051;-2;-2;-2;-2;-2;-2;-2;21.5;-1;-1;-1;-1;61.7;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.052;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.053;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.054;-2;-2;-2;-2;-2;-2;-2;-1;23.8;-1;-1;-1;55.4;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.055;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;42.2;-1;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.056;-2;-2;-2;-2;-2;-2;-2;27.9;-1;-1;-1;-1;57.9;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.057;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;44.1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.058;-2;-2;-2;-2;-2;-2;-2;-1;15.4;-1;-1;-1;61.7;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.059;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.060;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.061;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;47.4;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.062;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.063;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.064;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;47.3;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.065;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;47.4;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.066;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;79.1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.067;-2;-2;-2;-2;-2;-2;-2;-1;15.4;-1;-1;-1;61.7;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.068;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.069;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.070;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;47.4;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.071;-2;-2;-2;-2;-2;-2;-2;-1;15.5;-1;-1;-1;61.7;76.2;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.072;-2;-2;-2;-2;-2;-2;-2;21.5;-1;-1;-1;-1;61.7;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.073;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.074;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;47.4;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.075;-2;-2;-2;-2;-2;-2;-2;21.5;-1;-1;-1;-1;61.7;76.2;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.076;-2;-2;-2;-2;-2;-2;-2;21.5;-1;-1;-1;-1;61.7;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.077;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.078;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-1;47.3;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscre.079;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;79.1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscree;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;49.8;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscreen;-2;-2;-2;-2;-2;-2;-2;17.3;-1;-1;-1;-1;-1;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscreen:;-2;-2;-2;-2;-2;-2;-2;-1;13.2;22.3;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_BX_Rainscreen:U;-2;-2;-2;-2;-2;-2;-2;-1;13.2;-1;-1;-1;64.4;-1;-3;-3;-3;-3;-3;-3;-3;-2;-2;-2
